hito1;hito2;exitosos;fallidos;sol1;programa
29.0;0;15;1;4.6;UNAB12210
32.0;32.0;26;5;4.6;UNAB12210
29.0;0.0;15;16;4.6;UNAB12210
7.0;0.0;5;26;4.6;UNAB12100
0.0;0;0;16;4.6;UNAB11500
32.0;0.0;16;15;4.6;UNAB12210
18.0;2.0;11;20;4.6;UNAB12210
19.0;0;11;5;4.6;UNAB12100
8.0;0.0;5;26;4.6;UNAB12210
30.0;0;15;1;4.6;UNAB12210
32.0;0.0;16;15;4.6;UNAB12210
16.0;0;9;7;4.6;UNAB12100
17.0;0;9;7;4.6;UNAB11500
12.0;0;7;9;4.6;UNAB12210
24.0;0.0;12;19;4.6;UNAB11500
26.0;0.0;13;18;4.6;UNAB12210
21.0;0.0;11;20;4.6;UNAB12100
15.0;0;9;7;4.7;UNAB22100
32.0;0.0;16;15;4.7;UNAB12210
9.0;0;6;10;4.7;UNAB21500
15.0;0;10;6;4.7;UNAB22100
32.0;0.0;16;15;4.7;UNAB12210
31.0;0;15;1;4.7;UNAB12210
24.0;0.0;13;18;4.7;UNAB12210
0.0;0;0;16;4.7;UNAB11500
10.0;0;7;9;4.7;UNAB12100
13.0;0;8;8;4.7;UNAB11500
32.0;0.0;16;15;4.7;UNAB12510
27.0;0;14;2;4.7;UNAB21500
0.0;0.0;0;31;4.8;UNAB22115
0;0;0;0;4.8;UNAB21503
29.0;0.0;15;16;4.8;UNAB21500
0;0;0;0;4.8;UNAB22115
14.0;0.0;8;23;4.8;UNAB12100
20.0;0.0;11;20;4.8;UNAB12510
23.0;0;11;5;4.8;UNAB11500
7.0;0;5;11;4.8;UNAB12100
7.0;0.0;5;26;4.8;UNAB12100
18.0;0.0;10;21;4.8;UNAB12100
18.0;0;10;6;4.8;UNAB12100
10.0;0;7;9;4.8;UNAB12100
23.0;0.0;12;19;4.8;UNAB12510
5.0;0;4;12;4.8;UNAB11500
15.0;0.0;9;22;4.8;UNAB11500
17.0;0;10;6;4.8;UNAB11500
19.0;0;9;7;4.8;UNAB11500
19.0;0;10;6;4.8;UNAB12210
4.0;0;3;13;4.9;UNAB22115
32.0;0;16;0;4.9;UNAB12100
20.0;0.0;11;20;4.9;UNAB12210
20.0;0.0;11;20;4.9;UNAB12210
22.0;0;12;4;4.9;UNAB12100
20.0;0.0;11;20;4.9;UNAB12100
9.0;0;6;10;4.9;UNAB12100
32.0;0.0;16;15;4.9;UNAB12210
10.0;0;6;10;4.9;UNAB12100
17.0;0.0;10;21;4.9;UNAB12210
16.0;0;9;7;4.9;UNAB12210
0.0;0;0;16;4.9;UNAB11500
15.0;0;9;7;4.9;UNAB21503
17.0;0.0;10;21;4.9;UNAB12210
15.0;0.0;9;22;5;UNAB22115
25.0;0;13;3;5;UNAB22100
4.0;0.0;3;28;5;UNAB12100
15.0;0;9;7;5;UNAB11500
29.0;0.0;15;16;5;UNAB12510
20.0;0;11;5;5;UNAB11500
32.0;0.0;16;15;5;UNAB12210
18.0;0;10;6;5;UNAB12100
0.0;0;0;16;5;UNAB11500
32.0;0.0;16;15;5;UNAB12210
32.0;0.0;16;15;5;UNAB12210
15.0;0.0;8;23;5;UNAB12210
10.0;0;6;10;5;UNAB11500
0;0;0;0;5;UNAB12100
31.0;0.0;15;16;5;UNAB12210
0.0;0.0;0;31;5;UNAB11500
23.0;0;13;3;5.1;UNAB22100
14.0;0;8;8;5.1;UNAB22115
0;0;0;0;5.1;UNAB12100
29.0;0.0;15;16;5.1;UNAB22100
25.0;0.0;13;18;5.1;UNAB11500
25.0;0;13;3;5.1;UNAB11500
17.0;0.0;10;21;5.1;UNAB11500
14.0;0;8;8;5.1;UNAB12210
13.0;0;6;10;5.1;UNAB12510
10.0;0;6;10;5.1;UNAB11500
0.0;0;0;16;5.1;UNAB12100
23.0;0;12;4;5.1;UNAB11500
15.0;0;9;7;5.2;UNAB21503
21.0;0;12;4;5.2;UNAB21500
