rut,t1,r1,p1,s1,l1,t2,r2,p2,s2,l2,t3,r3,p3,s3,l3,t4,r4,p4,s4,l4,t5,r5,p5,s5,l5,t6,r6,p6,s6,l6,op1,op2,op3,op4,op5,op6,sv1,sv2,sv3,sv4,sv5,sv6,lt,tt,pt,game_score,score,score_a,score_p,score_d,score_s,programa,sol1,estado
364,63.377.448,1,2,[3 0 0 3 3 1 3 ] [1 2 ],9,5.367.188.603,1,3,[2 3 3 3 3 3 0 ] [1 1 1 ],10,1.965.412.316,2,13,[3 0 0 0 3 3 0 0 2 2 3 ] [3 0 0 2 2 2 0 2 ],19,560.192.434,1,2,[2 2 0 0 2 2 ] [3 3 3 3 ],10,66.590.592,2,3,[1 2 2 ] [3 3 3 3 3 ],8,56.452.126,1,3,[2 2 0 0 ] [1 1 1 1 3 3 ],10,0,1,0,1,1,1,1,1,0,1,1,1,66,492.652.527,26,1.312.432.965,4,3,0,3,3,INGENIERIA CIVIL INFORMATICA,6,A
388,3.894.755.233,1,18,[3 3 3 3 2 0 ] [2 2 1 ],9,1.253.813.347,7,27,[2 3 3 3 3 3 3 2 ] [1 1 1 1 ],12,685.773.273,1,15,[0 3 0 0 0 0 2 3 1 3 3 3 ] [3 0 0 2 ],16,490.366.807,1,17,[2 2 2 3 0 0 2 ] [1 1 3 3 3 3 0 0 3 ],16,24.127.907,1,6,[1 2 2 2 2 2 2 2 ] [],8,7.204.982,2,18,[2 2 3 3 0 0 0 0 0 1 2 2 2 2 2 2 3 3 0 0 ] [],20,0,0,1,0,1,0,1,1,1,0,1,0,81,378.120.622,101,1.900.488.699,8,6,2,3,3,INGENIERIA CIVIL INFORMATICA,6.8,A
444,1.542.093.964,5,6,[3 3 3 0 ] [2 2 1 ],7,124.160.819,4,13,[2 3 3 3 3 3 ] [1 1 1 1 ],10,2.105.071.273,4,32,[3 0 0 0 0 0 2 3 1 ] [3 0 0 0 2 2 2 2 ],17,68.396.581,1,5,[2 2 0 0 2 2 2 2 2 ] [1 1 3 3 2 0 0 ],16,124.177.484,4,11,[1 2 2 2 ] [3 3 3 3 ],8,35.998.336,1,4,[2 2 0 0 2 2 0 ] [1 1 1 ],10,1,1,0,0,1,1,1,1,0,0,1,1,68,7.174.497.437,71,1.836.927.634,6,4,2,2,1,INGENIERIA EN COMPUTACION E INFORMATICA,7,A
460,886.015.347,2,7,[3 3 3 0 0 3 3 ] [],7,581.255.483,1,5,[2 3 3 3 3 3 ] [1 1 1 1 ],10,1.238.946.087,1,7,[0 3 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ],16,62.429.267,1,3,[2 2 0 0 2 2 ] [3 3 3 3 ],10,501.465.297,1,4,[1 2 2 2 ] [3 3 3 3 ],8,108.586.495,1,6,[2 2 2 3 3 2 0 ] [1 1 1 1 3 3 1 ],14,1,1,1,1,1,0,1,1,1,1,1,1,65,4.917.839.834,32,1.332.424.924,7,5,2,2,2,INGENIERIA CIVIL INDUSTRIAL,6.3,A
59,22.032.087,1,2,[3 3 3 3 0 ] [2 1 ],7,9.319.538.797,2,4,[2 3 3 3 3 3 3 2 ] [1 1 1 1 ],12,202.390.307,1,12,[0 3 0 0 0 0 2 3 1 1 1 1 1 3 3 3 3 3 3 3 0 0 0 0 ] [3 0 0 2 0 0 3 3 3 3 1 1 ],36,137.527.193,2,14,[2 2 2 2 0 0 2 2 1 1 2 2 ] [1 0 ],14,605.968.534,1,8,[0 ] [1 1 3 3 3 3 3 0 0 0 0 3 3 ],14,696.797.863,1,8,[2 2 0 0 2 2 2 2 2 2 0 0 0 ] [2 2 2 2 1 ],18,1,0,0,0,0,0,1,1,0,1,1,0,101,5.854.216.147,48,2.094.435.987,7,6,1,2,3,INGENIERIA CIVIL INDUSTRIAL,6.8,A
88,1.856.115.167,1,7,[3 3 3 3 0 0 3 ] [],7,2.485.302.133,1,5,[2 3 3 3 3 3 0 ] [1 1 1 ],10,1.128.477.383,2,12,[3 0 0 0 0 0 2 3 1 3 3 3 ] [3 0 0 0 2 ],17,750.916.954,1,9,[2 2 ] [1 1 3 3 3 3 0 0 1 3 3 1 1 1 0 0 0 1 3 3 1 1 ],24,56.081.538,2,8,[1 2 2 1 1 2 2 2 2 2 0 0 ] [],12,591.611.013,3,8,[2 2 0 0 2 2 0 ] [1 1 1 ],10,1,1,0,0,0,1,1,1,0,0,1,1,80,346.596.246,49,153.551.639,6,4,2,2,2,INGENIERIA CIVIL INDUSTRIAL,7,A
155,947.610.427,1,4,[0 0 3 3 3 1 ] [1 2 2 ],9,881.169.703,1,4,[2 3 3 3 3 ] [1 1 1 1 2 ],10,1.021.069.227,1,6,[3 0 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ],16,525.595.563,1,2,[2 2 0 0 2 2 ] [3 3 3 3 ],10,404.945.564,1,2,[1 2 2 ] [3 3 3 3 3 ],8,107.544.958,2,5,[2 2 0 0 ] [1 1 1 1 3 3 ],10,0,1,1,1,1,1,1,1,1,1,1,1,63,4.855.840.064,23,1.239.428.598,8,5,4,1,2,INGENIERIA CIVIL INDUSTRIAL,3.8,R
41,6.467.796.833,1,1,[0 0 ] [2 2 2 2 2 2 ],8,154.847.227,2,11,[2 3 3 3 3 3 ] [1 1 1 1 ],10,3.393.848.443,3,24,[3 0 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ],16,112.195.079,1,7,[2 2 0 0 2 2 1 ] [1 1 3 3 3 3 0 ],14,78.540.111,1,3,[1 2 2 2 2 2 ] [3 3 ],8,578.969.514,1,4,[2 2 0 0 2 2 ] [1 1 1 1 ],10,0,1,1,0,1,1,1,1,1,1,1,1,66,807.542.181,50,176.331.111,8,5,4,2,3,INGENIERIA INDUSTRIAL,6.6,R
222,1.121.360.743,13,35,[0 3 3 3 0 3 3 ] [],7,108.185.484,2,3,[2 3 3 3 3 3 ] [1 1 1 1 ],10,4.224.904.713,4,8,[3 3 3 3 3 3 3 3 ] [3 0 0 2 0 0 3 3 3 3 1 1 1 1 1 1 ],24,61.051.111,1,1,[2 2 2 2 2 2 2 ] [1 3 1 ],10,54.684.248,1,1,[1 2 2 1 1 ] [1 1 3 3 3 3 3 ],12,104.751.857,2,3,[2 2 0 0 2 2 0 0 ] [1 1 ],10,1,1,0,1,0,1,1,1,0,1,1,1,73,8.632.992.456,51,1.934.774.372,7,4,3,2,3,INGENIERIA EN COMPUTACION E INFORMATICA,6.8,R
225,110.872.133,3,6,[0 0 0 3 1 ] [2 2 2 2 ],9,39.135.361,2,7,[2 3 3 3 3 3 ] [1 1 1 1 ],10,266.613.542,7,40,[0 3 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ],16,292.179.233,1,4,[2 2 0 0 2 2 ] [3 3 3 3 ],10,22.917.788,1,3,[1 2 2 ] [3 3 3 3 3 ],8,31.234.943,1,7,[2 2 0 0 2 2 ] [1 1 1 1 ],10,0,1,1,1,1,1,1,1,1,1,1,1,63,4.999.916.903,67,1.522.932.999,6,3,4,1,2,INGENIERIA CIVIL INFORMATICA,4.4,R
